Player,Nat,Pos,Squad,Age,Wages,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,PrgC,PrgP,Gls,Ast,Fls,Fld,Int,TklW,OG,Recov,GA,Saves,Save%
Kyle Walker-Peters,ENG,DF,Southampton,25,"1,040,000",31,30,"2,650",29.4,1,0,4,0,102,97,0.03,0,25,41,27,32,0,156,0,0,0
Layvin Kurzawa,FRA,DF,Fulham,29,"4,680,000",3,2,135,1.5,0,0,1,0,1,2,0,0,1,0,2,2,0,5,0,0,0
Leander Dendoncker,BEL,MF,Aston Villa,27,"4,680,000",20,7,697,7.7,0,0,0,0,1,18,0,0,1,1,10,9,0,36,0,0,0
Leander Dendoncker,BEL,MF,Aston Villa,27,"4,680,000",20,7,697,7.7,0,0,0,0,1,18,0,0,0,0,9,2,0,16,0,0,0
Leander Dendoncker,BEL,MF,Aston Villa,27,"4,680,000",4,2,214,2.4,0,0,0,0,1,6,0,0,1,1,10,9,0,36,0,0,0
Leander Dendoncker,BEL,MF,Aston Villa,27,"4,680,000",4,2,214,2.4,0,0,0,0,1,6,0,0,0,0,9,2,0,16,0,0,0
Leandro Trossard,BEL,FW,Arsenal,27,"4,680,000",20,10,931,10.3,1,10,0,0,36,57,0.1,0.97,9,17,6,7,0,46,0,0,0
Leandro Trossard,BEL,FW,Arsenal,27,"4,680,000",20,10,931,10.3,1,10,0,0,36,57,0.1,0.97,10,13,6,6,0,65,0,0,0
Leandro Trossard,BEL,FW,Arsenal,27,"4,680,000",16,16,"1,315",14.6,7,2,1,0,40,67,0.48,0.14,9,17,6,7,0,46,0,0,0
Leandro Trossard,BEL,FW,Arsenal,27,"4,680,000",16,16,"1,315",14.6,7,2,1,0,40,67,0.48,0.14,10,13,6,6,0,65,0,0,0
Leon Bailey,JAM,FW,Aston Villa,24,"5,200,000",33,26,"1,967",21.9,4,4,4,0,85,28,0.18,0.18,29,22,6,6,0,72,0,0,0
Levi Colwill,ENG,DF,Brighton,19,"260,000",17,13,"1,220",13.6,0,2,1,0,16,70,0,0.15,8,10,15,7,0,74,0,0,0
Lewis Cook,ENG,MF,Bournemouth,25,"2,080,000",28,18,"1,720",19.1,0,2,4,0,9,63,0,0.1,15,10,23,22,0,129,0,0,0
Lewis Dunk,ENG,DF,Brighton,30,"3,900,000",36,36,"3,239",36,1,0,4,0,19,158,0.03,0,18,27,34,19,1,253,0,0,0
Lewis Hall,,LB,Chelsea,18,"364,000",9,8,654,7.3,0,0,1,0,19,25,0,0,3,11,11,12,0,48,0,0,0
Lewis O'Brien,ENG,MF,Nott'ham Forest,23,"780,000",13,6,584,6.5,1,0,2,0,13,21,0.15,0,5,15,5,9,0,51,0,0,0
Liam Cooper,SCO,DF,Leeds United,30,"1,300,000",18,16,"1,426",15.8,1,0,5,0,3,47,0.06,0,12,10,34,23,0,107,0,0,0
Lisandro Martínez,ARG,DF,Manchester Utd,24,"6,240,000",27,24,"2,114",23.5,1,0,6,0,12,83,0.04,0,21,10,33,28,0,164,0,0,0
Lloyd Kelly,ENG,DF,Bournemouth,23,"1,560,000",23,23,"2,040",22.7,0,2,3,0,14,47,0,0.09,17,5,26,18,0,131,0,0,0
Lucas Digne,FRA,DF,Aston Villa,29,"8,320,000",28,18,"1,502",16.7,1,0,5,0,29,57,0.06,0,19,23,18,12,1,86,0,0,0
Lucas Moura,BRA,MF,Tottenham,29,"4,680,000",15,0,153,1.7,1,0,0,1,4,13,0.59,0,3,3,2,5,0,9,0,0,0
Lucas Paquetá,BRA,MF,West Ham,24,"7,800,000",28,27,"2,151",23.9,4,3,5,0,25,147,0.17,0.13,50,30,16,53,0,144,0,0,0
Ludwig Augustinsson,SWE,DF,Aston Villa,28,"1,040,000",3,1,77,0.9,0,0,1,0,0,0,0,0,1,3,0,1,0,9,0,0,0
Luis Díaz,COL,FW,Liverpool,25,"2,860,000",17,11,996,11.1,4,2,2,0,39,49,0.36,0.18,20,24,6,11,0,50,0,0,0
Luis Sinisterra,COL,FW,Leeds United,23,"3,380,000",19,13,867,9.6,5,0,3,1,30,39,0.52,0,14,12,8,14,0,65,0,0,0
Luka Milivojevi?,SRB,MF,Crystal Palace,31,"3,900,000",18,5,512,5.7,0,0,2,0,2,20,0,0,15,3,12,7,0,34,0,0,0
?ukasz Fabia?ski,POL,GK,West Ham,37,"3,380,000",36,36,"3,111",34.6,0,0,1,0,0,0,0,0,0,4,0,0,0,17,48,106,70.1
Luke Ayling,ENG,DF,Leeds United,30,"1,040,000",29,22,"2,054",22.8,2,1,3,0,28,77,0.09,0.04,15,35,26,37,0,152,0,0,0
Luke Shaw,ENG,DF,Manchester Utd,27,"7,800,000",31,30,"2,552",28.4,1,2,8,0,53,140,0.04,0.07,46,27,36,36,0,189,0,0,0
Luke Thomas,ENG,DF,Leicester City,21,"520,000",17,11,"1,073",11.9,0,0,3,0,10,48,0,0,12,7,27,19,1,69,0,0,0
Lyanco,BRA,DF,Southampton,25,"1,820,000",21,11,"1,180",13.1,1,1,4,0,13,35,0.08,0.08,16,10,20,16,0,83,0,0,0
Mads Roerslev,DEN,DF,Brentford,23,"520,000",20,12,"1,108",12.3,0,0,0,0,8,19,0,0,4,3,9,12,0,48,0,0,0
Malcolm Ebiowei,ENG,MF,Crystal Palace,18,"520,000",3,0,34,0.4,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0
Manor Solomon,ISR,FW,Fulham,23,"1,040,000",19,4,572,6.4,4,0,0,0,16,24,0.63,0,5,4,5,12,0,46,0,0,0
Manuel Akanji,SUI,DF,Manchester City,27,"9,360,000",29,24,"2,287",25.4,0,1,2,0,24,116,0,0.04,24,12,16,25,0,136,0,0,0
Manuel Lanzini,ARG,MF,West Ham,29,"3,640,000",10,2,252,2.8,1,0,0,0,2,19,0.36,0,1,2,2,2,0,21,0,0,0
Marc Albrighton,ENG,FW,Leicester City,32,"2,340,000",6,1,237,2.6,1,0,0,0,4,7,0.38,0,2,2,1,1,0,13,0,0,0
Marc Cucurella,ESP,DF,Chelsea,24,"9,100,000",24,21,"1,671",18.6,0,2,4,0,30,73,0,0.11,16,21,16,33,0,120,0,0,0
Marc Guéhi,ENG,DF,Crystal Palace,22,"2,600,000",37,37,"3,329",37,1,0,8,0,17,106,0.03,0,24,40,45,27,1,241,0,0,0
Marc Roca,ESP,MF,Leeds United,25,"2,600,000",32,29,"2,315",25.7,1,2,7,0,25,172,0.04,0.08,40,29,23,40,0,169,0,0,0
Marcel Sabitzer,AUT,MF,Manchester Utd,28,"10,920,000",11,7,627,7,0,1,1,0,8,38,0,0.14,8,10,8,8,0,52,0,0,0
Marcos Senesi,ARG,DF,Bournemouth,25,"2,600,000",31,29,"2,491",27.7,2,0,7,0,9,66,0.07,0,29,13,43,35,0,168,0,0,0
Marcus Rashford,ENG,FW,Manchester Utd,24,"10,400,000",35,32,"2,879",32,17,5,2,0,85,88,0.53,0.16,15,23,7,10,0,100,0,0,0
Marcus Tavernier,ENG,MF,Bournemouth,23,"1,040,000",23,19,"1,743",19.4,5,4,1,0,67,56,0.26,0.21,21,28,9,22,0,124,0,0,0
Marek Rodák,SVK,GK,Fulham,25,"780,000",2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,50
Mario Lemina,GAB,MF,Wolves,28,"2,340,000",19,17,"1,299",14.4,0,1,4,1,6,42,0,0.07,18,9,14,24,0,91,0,0,0
Mark Travers,IRL,GK,Bournemouth,23,"1,040,000",12,11,"1,035",11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,36,54.5
Marquinhos,BRA,MF,Arsenal,19,"1,560,000",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Dúbravka,SVK,GK,Manchester Utd,33,"2,080,000",2,1,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,88.9
Martin Ødegaard,NOR,MF,Arsenal,23,"5,980,000",37,37,"3,127",34.7,15,7,4,0,83,266,0.43,0.2,30,26,6,23,0,178,0,0,0
Mason Holgate,ENG,DF,Everton,25,"3,640,000",8,5,507,5.6,0,0,3,1,4,14,0,0,9,4,7,7,0,23,0,0,0
Mason Mount,ENG,MF,Chelsea,23,"4,160,000",24,20,"1,648",18.3,3,2,4,0,48,98,0.16,0.11,28,27,8,19,0,85,0,0,0
Mateo Kova?i?,CRO,MF,Chelsea,28,"5,200,000",27,17,"1,707",19,1,2,8,0,37,153,0.05,0.11,18,12,19,24,0,121,0,0,0
Mateusz Klich,POL,MF,Leeds United,32,"1,300,000",14,0,280,3.1,0,0,2,0,5,16,0,0,10,3,0,8,0,24,0,0,0
Matheus Cunha,BRA,FW,Wolves,23,"3,120,000",17,12,965,10.7,2,0,1,0,16,14,0.19,0,20,21,9,4,0,50,0,0,0
Matheus Nunes,POR,MF,Wolves,23,"4,420,000",34,30,"2,467",27.4,1,1,2,1,59,84,0.04,0.04,37,49,16,43,0,154,0,0,0
Mathias Jensen,DEN,MF,Brentford,26,"1,040,000",37,37,"2,803",31.1,5,6,5,0,21,141,0.16,0.19,32,25,32,35,0,175,0,0,0
Mathias Jørgensen,DEN,DF,Brentford,32,"1,040,000",18,11,"1,103",12.3,0,0,2,0,1,35,0,0,9,4,16,8,1,53,0,0,0
Matías Viña,URU,DF,Bournemouth,24,"1,976,000",12,5,458,5.1,2,0,1,0,10,17,0.39,0,7,11,4,11,0,28,0,0,0
Matt Doherty,IRL,DF,Tottenham,30,"3,380,000",12,7,667,7.4,1,0,0,0,16,20,0.13,0,11,4,8,10,0,31,0,0,0
Matt Ritchie,SCO,FW,Newcastle Utd,32,"2,340,000",7,0,39,0.4,0,0,0,0,1,1,0,0,0,0,1,1,0,3,0,0,0
Matt Targett,ENG,DF,Newcastle Utd,26,"5,200,000",17,6,610,6.8,0,0,1,0,3,43,0,0,10,3,9,10,0,46,0,0,0
Matty Cash,POL,DF,Aston Villa,24,"4,160,000",26,20,"1,820",20.2,0,1,4,0,42,75,0,0.05,21,15,26,32,0,108,0,0,0
Max Kilman,ENG,DF,Wolves,25,"780,000",37,37,"3,307",36.7,0,0,3,0,30,127,0,0,18,12,19,20,0,219,0,0,0
Maximilian Wöber,AUT,DF,Leeds United,24,"1,820,000",16,14,"1,266",14.1,0,0,3,0,15,54,0,0,15,1,27,18,0,75,0,0,0
Máximo Perrone,,DM,Manchester City,20,"1,560,000",1,0,19,0.2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0
Maxwel Cornet,CIV,FW,West Ham,25,"3,380,000",14,2,245,2.7,0,0,0,0,9,5,0,0,2,2,2,3,0,15,0,0,0
Michael Keane,ENG,DF,Everton,29,"4,160,000",12,10,985,10.9,1,2,0,0,2,31,0.09,0.18,7,4,14,4,0,62,0,0,0
Michael Olise,FRA,FW,Crystal Palace,20,"2,340,000",37,31,"2,749",30.5,2,11,2,0,111,133,0.07,0.36,28,69,26,34,0,165,0,0,0
Michail Antonio,JAM,FW,West Ham,32,"4,420,000",33,21,"1,829",20.3,5,3,2,0,49,27,0.25,0.15,28,44,5,7,0,43,0,0,0
Miguel Almirón,PAR,FW,Newcastle Utd,28,"2,184,000",34,29,"2,491",27.7,11,2,2,0,77,124,0.4,0.07,22,33,10,30,0,139,0,0,0
Mikkel Damsgaard,DEN,MF,Brentford,22,"1,560,000",26,9,988,11,0,0,4,0,9,44,0,0,13,11,10,21,0,70,0,0,0
Mislav Orši?,CRO,MF,Southampton,29,"4,160,000",1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Mohamed Elneny,EGY,MF,Arsenal,30,"2,860,000",5,1,113,1.3,0,0,0,0,1,2,0,0,1,1,0,1,0,10,0,0,0
Mohamed Elyounoussi,NOR,MF,Southampton,27,"3,120,000",33,27,"2,168",24.1,1,1,4,0,56,50,0.04,0.04,41,18,27,28,0,132,0,0,0
Mohamed Salah,EGY,FW,Liverpool,30,"18,200,000",38,37,"3,290",36.6,19,12,2,0,120,149,0.52,0.33,20,33,6,12,0,100,0,0,0
Mohammed Salisu,GHA,DF,Southampton,23,"1,300,000",22,21,"1,973",21.9,0,1,5,0,5,82,0,0.05,26,3,31,29,1,158,0,0,0
Moisés Caicedo,ECU,MF,Brighton,20,"780,000",37,34,"3,139",34.9,1,1,10,0,38,219,0.03,0.03,65,54,56,50,0,248,0,0,0
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,22,"4,160,000",2,2,180,2,0,0,1,0,4,12,0,0,3,3,1,1,0,14,0,0,0
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,22,"4,160,000",2,2,180,2,0,0,1,0,4,12,0,0,32,28,14,14,0,147,0,0,0
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,22,"4,160,000",35,34,"2,971",33,5,8,5,0,69,131,0.15,0.24,3,3,1,1,0,14,0,0,0
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,22,"4,160,000",35,34,"2,971",33,5,8,5,0,69,131,0.15,0.24,32,28,14,14,0,147,0,0,0
Morgan Sanson,FRA,MF,Aston Villa,27,"2,340,000",2,0,11,0.1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0
Moussa Djenepo,MLI,DF,Southampton,24,"3,380,000",16,7,710,7.9,0,2,1,0,27,19,0,0.25,11,19,11,11,0,56,0,0,0
Moussa Niakhate,SEN,DF,Nott'ham Forest,26,"2,340,000",14,14,"1,163",12.9,0,0,1,0,2,15,0,0,12,6,19,9,0,71,0,0,0
Mykhailo Mudryk,UKR,FW,Chelsea,21,"5,200,000",15,7,657,7.3,0,2,1,0,25,20,0,0.27,8,12,0,9,0,35,0,0,0
N'Golo Kanté,FRA,MF,Chelsea,31,"15,080,000",7,6,518,5.8,0,1,1,0,19,34,0,0.17,5,2,6,10,0,55,0,0,0
Naby Keïta,GUI,MF,Liverpool,27,"6,240,000",8,3,293,3.3,0,0,1,0,5,15,0,0,12,2,2,4,0,29,0,0,0
Nampalys Mendy,SEN,MF,Leicester City,30,"2,860,000",19,7,757,8.4,1,0,1,0,2,28,0.12,0,9,10,13,9,0,46,0,0,0
Naouirou Ahamada,FRA,MF,Crystal Palace,20,"1,040,000",8,0,94,1,0,0,1,0,1,2,0,0,2,0,0,2,0,8,0,0,0
Nathan Aké,NED,DF,Manchester City,27,"4,680,000",26,22,"1,873",20.8,1,0,2,0,25,140,0.05,0,12,14,20,12,0,96,0,0,0
Nathan Collins,IRL,DF,Wolves,21,"1,040,000",26,19,"1,814",20.2,0,0,2,1,11,64,0,0,17,9,21,15,0,96,0,0,0
Nathan Patterson,SCO,DF,Everton,20,"1,456,000",19,14,"1,279",14.2,0,0,3,0,16,24,0,0,14,13,15,24,0,80,0,0,0
Nathaniel Chalobah,ENG,MF,Fulham,27,"1,820,000",4,1,12,0.1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0
Nathaniel Clyne,ENG,DF,Crystal Palace,31,"4,160,000",22,19,"1,640",18.2,0,0,3,0,14,52,0,0,10,8,19,16,0,81,0,0,0
Nathaniel Phillips,ENG,DF,Liverpool,25,"3,380,000",2,1,66,0.7,0,0,0,0,0,9,0,0,1,0,2,1,0,14,0,0,0
Nayef Aguerd,MAR,DF,West Ham,26,"2,600,000",18,17,"1,595",17.7,2,0,4,0,2,25,0.11,0,8,8,18,18,0,105,0,0,0
Neal Maupay,FRA,FW,Everton,25,"2,600,000",27,11,"1,118",12.4,1,0,4,0,8,11,0.08,0,14,21,5,5,0,26,0,0,0
Neco Williams,WAL,DF,Nott'ham Forest,21,"2,600,000",31,20,"1,882",20.9,1,0,7,0,51,33,0.05,0,33,27,33,47,0,127,0,0,0
Neeskens Kebano,COD,FW,Fulham,30,"1,560,000",17,9,764,8.5,0,3,0,0,39,24,0,0.35,8,16,1,9,0,47,0,0,0
Nélson Semedo,POR,DF,Wolves,28,"4,160,000",36,31,"2,632",29.2,0,1,11,1,50,110,0,0.03,47,24,29,42,0,167,0,0,0
Neto,BRA,GK,Bournemouth,33,"2,600,000",27,27,"2,385",26.5,0,0,4,0,0,0,0,0,0,4,0,1,0,21,39,100,74.6
Nick Pope,ENG,GK,Newcastle Utd,30,"3,120,000",37,37,"3,261",36.2,0,0,3,1,0,1,0,0,1,2,0,0,0,30,32,85,74.6
Noni Madueke,,RW,Chelsea,20,"2,600,000",12,7,643,7.1,1,0,0,0,48,36,0.14,0,4,15,4,8,0,30,0,0,0
Odsonne Édouard,FRA,FW,Crystal Palace,24,"4,680,000",35,20,"1,803",20,5,2,3,0,29,32,0.25,0.1,28,17,3,13,0,55,0,0,0
Oleksandr Zinchenko,UKR,DF,Arsenal,25,"7,800,000",27,26,"2,118",23.5,1,2,3,0,67,227,0.04,0.08,6,11,22,18,0,163,0,0,0
Oliver Skipp,ENG,MF,Tottenham,21,"2,080,000",23,18,"1,491",16.6,1,0,7,0,14,56,0.06,0,23,17,17,17,0,107,0,0,0
Ollie Watkins,ENG,FW,Aston Villa,26,"3,900,000",37,36,"3,127",34.7,15,6,4,0,50,39,0.43,0.17,26,39,10,13,0,59,0,0,0
Orel Mangala,BEL,MF,Nott'ham Forest,24,"1,560,000",27,20,"1,550",17.2,1,1,3,0,14,43,0.06,0.06,22,23,23,20,0,88,0,0,0
Pablo Fornals,ESP,FW,West Ham,26,"3,380,000",32,17,"1,503",16.7,3,1,0,0,33,89,0.18,0.06,14,7,14,15,0,130,0,0,0
Pablo Sarabia,ESP,FW,Wolves,30,"4,680,000",13,9,765,8.5,1,0,3,0,17,41,0.12,0,13,8,2,6,0,42,0,0,0
Pape Matar Sarr,SEN,MF,Tottenham,19,"1,040,000",11,2,218,2.4,0,1,1,0,1,13,0,0.41,4,3,6,6,0,22,0,0,0
Pascal Groß,GER,MF,Brighton,31,"3,120,000",37,37,"3,239",36,9,8,6,0,62,255,0.25,0.22,35,18,13,38,1,140,0,0,0
Pascal Struijk,NED,DF,Leeds United,22,"2,600,000",29,26,"2,200",24.4,2,1,5,0,24,119,0.08,0.04,29,12,32,57,0,139,0,0,0
Patrick Bamford,ENG,FW,Leeds United,28,"3,640,000",28,18,"1,515",16.8,4,2,3,0,17,23,0.24,0.12,25,27,5,6,0,50,0,0,0
Patson Daka,ZAM,FW,Leicester City,23,"3,900,000",30,13,"1,187",13.2,4,4,2,0,18,17,0.3,0.3,23,15,7,8,0,36,0,0,0
Paul Onuachu,NGA,FW,Southampton,28,"1,560,000",11,4,407,4.5,0,0,0,0,1,7,0,0,14,6,0,2,0,14,0,0,0
Pedro Neto,POR,FW,Wolves,22,"2,600,000",18,13,964,10.7,0,0,1,0,37,24,0,0,8,15,4,6,0,51,0,0,0
Pedro Porro,ESP,DF,Tottenham,22,"4,420,000",15,13,"1,131",12.6,3,3,0,0,34,39,0.24,0.24,12,16,15,16,0,85,0,0,0
Pervis Estupiñán,ECU,DF,Brighton,24,"2,600,000",35,31,"2,675",29.7,1,5,4,0,91,157,0.03,0.17,42,26,37,31,0,191,0,0,0
Phil Foden,ENG,FW,Manchester City,22,"11,700,000",32,22,"1,842",20.5,11,6,1,0,68,88,0.54,0.29,10,29,5,10,0,91,0,0,0
Philip Billing,DEN,MF,Bournemouth,26,"2,080,000",36,34,"2,764",30.7,7,1,5,0,37,80,0.23,0.03,30,35,31,36,0,146,0,0,0
Philippe Coutinho,BRA,MF,Aston Villa,30,"6,500,000",20,7,788,8.8,1,0,3,0,18,48,0.11,0,16,14,4,14,0,41,0,0,0
Pierre Højbjerg,DEN,MF,Tottenham,26,"5,200,000",35,35,"3,131",34.8,4,5,5,0,46,235,0.11,0.14,38,36,49,30,0,245,0,0,0
Pierre-Emerick Aubameyang,GAB,FW,Chelsea,33,"8,320,000",15,5,554,6.2,1,0,1,0,9,3,0.16,0,5,1,2,0,0,11,0,0,0
Pontus Jansson,SWE,DF,Brentford,31,"1,300,000",12,9,724,8,1,0,0,0,1,14,0.12,0,2,1,9,3,0,25,0,0,0
Raheem Sterling,ENG,FW,Chelsea,27,"16,900,000",28,23,"1,891",21,6,3,4,0,81,59,0.29,0.14,21,32,2,10,0,66,0,0,0
Raphaël Varane,FRA,DF,Manchester Utd,29,"17,680,000",24,22,"1,911",21.2,0,0,1,0,17,63,0,0,12,3,11,9,1,100,0,0,0
Rasmus Nissen,DEN,DF,Leeds United,25,"2,080,000",26,21,"1,960",21.8,3,1,4,0,15,89,0.14,0.05,19,6,35,35,0,119,0,0,0
Raúl Jiménez,MEX,FW,Wolves,31,"5,200,000",15,8,846,9.4,0,1,0,0,5,14,0,0.11,14,14,0,6,0,21,0,0,0
Rayan Aït Nouri,ALG,DF,Wolves,21,"520,000",21,9,"1,076",12,1,0,4,0,30,43,0.08,0,15,11,9,20,1,61,0,0,0
Reece James,ENG,DF,Chelsea,22,"13,000,000",16,14,"1,244",13.8,1,1,4,0,52,90,0.07,0.07,9,18,12,20,0,89,0,0,0
Reiss Nelson,ENG,FW,Arsenal,22,"3,120,000",11,0,212,2.4,3,2,0,0,19,6,1.27,0.85,8,4,0,1,0,16,0,0,0
Remo Freuler,SUI,MF,Nott'ham Forest,30,"2,080,000",28,24,"2,161",24,0,0,4,0,7,54,0,0,24,12,29,23,0,137,0,0,0
Renan Lodi,BRA,DF,Nott'ham Forest,24,"3,120,000",28,26,"2,214",24.6,0,1,7,0,24,31,0,0.04,29,42,33,39,0,153,0,0,0
Ricardo Pereira,POR,DF,Leicester City,28,"4,160,000",10,5,454,5,1,1,2,0,5,27,0.2,0.2,4,4,4,7,0,30,0,0,0
Richarlison,BRA,MF,Tottenham,25,"4,680,000",27,12,"1,010",11.2,1,3,3,0,33,28,0.09,0.27,14,22,5,16,0,52,0,0,0
Rico Henry,ENG,DF,Brentford,25,"1,820,000",37,37,"3,238",36,0,2,4,0,55,107,0,0.06,32,38,30,31,0,197,0,0,0
Rico Lewis,,RB,Manchester City,18,"260,000",14,10,903,10,0,0,1,0,22,48,0,0,10,18,6,9,0,43,0,0,0
Riyad Mahrez,ALG,FW,Manchester City,31,"8,320,000",30,22,"1,920",21.3,5,10,2,0,78,76,0.23,0.47,16,42,9,14,0,82,0,0,0
Rob Holding,ENG,DF,Arsenal,26,"2,080,000",14,6,566,6.3,1,0,0,0,3,24,0.16,0,5,2,3,5,0,40,0,0,0
Robert Sánchez,ESP,GK,Brighton,24,"1,300,000",23,23,"2,070",23,0,0,2,0,0,0,0,0,1,0,3,0,0,25,30,46,66.2
Roberto Firmino,BRA,FW,Liverpool,30,"9,360,000",25,13,"1,213",13.5,11,4,0,0,16,78,0.82,0.3,9,6,7,12,0,64,0,0,0
Robin Koch,GER,DF,Leeds United,26,"2,080,000",36,36,"3,175",35.3,0,0,7,0,11,114,0,0,35,17,43,30,1,193,0,0,0
Robin Olsen,SWE,GK,Aston Villa,32,"2,600,000",4,2,281,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,63.2
Rodri,ESP,MF,Manchester City,26,"11,440,000",36,34,"2,911",32.3,2,6,5,0,76,260,0.06,0.19,47,20,33,41,0,301,0,0,0
Rodrigo,ESP,FW,Leeds United,31,"5,200,000",31,23,"1,935",21.5,13,1,6,0,40,44,0.6,0.05,29,11,6,10,0,66,0,0,0
Rodrigo Bentancur,URU,MF,Tottenham,25,"3,900,000",18,17,"1,500",16.7,5,2,8,0,26,76,0.3,0.12,24,8,20,28,0,128,0,0,0
Romain Perraud,FRA,DF,Southampton,24,"1,560,000",29,22,"1,835",20.4,2,2,4,0,33,62,0.1,0.1,31,15,20,33,1,97,0,0,0
Roméo Lavia,,DM,Southampton,19,"1,300,000",29,26,"2,221",24.7,1,0,9,0,22,102,0.04,0,28,48,33,35,0,187,0,0,0
Rúben Dias,POR,DF,Manchester City,25,"9,360,000",26,22,"1,998",22.2,0,0,3,0,14,98,0,0,19,7,18,13,0,99,0,0,0
Ruben Loftus-Cheek,ENG,MF,Chelsea,26,"6,240,000",25,19,"1,536",17.1,0,1,1,0,56,90,0,0.06,10,34,12,14,1,101,0,0,0
Rúben Neves,POR,MF,Wolves,25,"2,600,000",35,33,"3,019",33.5,6,1,12,0,28,218,0.18,0.03,38,18,50,43,0,237,0,0,0
Rúben Vinagre,POR,DF,Everton,23,"1,300,000",2,0,26,0.3,0,0,0,0,2,0,0,0,0,3,0,2,0,4,0,0,0
Ryan Christie,SCO,MF,Bournemouth,27,"1,560,000",32,22,"1,834",20.4,1,1,2,0,39,71,0.05,0.05,36,45,26,22,0,132,0,0,0
Ryan Fraser,SCO,FW,Newcastle Utd,28,"2,184,000",8,3,313,3.5,0,0,1,0,8,9,0,0,3,10,0,2,0,14,0,0,0
Ryan Fredericks,ENG,DF,Bournemouth,29,"1,820,000",12,5,533,5.9,0,0,1,0,13,15,0,0,3,1,1,2,0,13,0,0,0
Ryan Sessegnon,ENG,DF,Tottenham,22,"2,860,000",17,9,813,9,2,0,4,0,24,22,0.22,0,15,6,6,11,0,49,0,0,0
Ryan Yates,ENG,MF,Nott'ham Forest,24,"1,300,000",26,21,"1,837",20.4,0,2,5,0,11,43,0,0.1,50,53,10,19,0,111,0,0,0
Saïd Benrahma,ALG,FW,West Ham,26,"2,860,000",35,22,"2,069",23,6,3,0,0,109,82,0.26,0.13,16,15,9,15,0,113,0,0,0
Salomón Rondón,VEN,FW,Everton,32,"4,160,000",7,1,109,1.2,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0
Sam Greenwood,ENG,MF,Leeds United,20,"1,560,000",18,3,424,4.7,1,2,1,0,7,15,0.21,0.42,11,3,1,7,0,31,0,0,0
Sam Johnstone,ENG,GK,Crystal Palace,29,"2,080,000",9,9,810,9,0,0,1,0,0,0,0,0,1,0,0,0,0,12,10,25,76.5
Sam Surridge,ENG,FW,Nott'ham Forest,24,"780,000",20,1,323,3.6,1,0,2,0,2,6,0.28,0,12,10,0,0,0,17,0,0,0
Saman Ghoddos,IRN,MF,Brentford,28,"780,000",15,0,139,1.5,0,0,0,0,1,8,0,0,3,3,4,1,0,24,0,0,0
Samuel Edozie,,LW,Southampton,20,"780,000",17,5,567,6.3,0,0,0,0,26,13,0,0,1,22,6,10,0,30,0,0,0
Sasa Kalajdzic,AUT,FW,Wolves,25,"1,820,000",1,1,45,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0
Saša Luki?,SRB,MF,Fulham,25,"3,276,000",12,4,412,4.6,0,0,1,0,8,13,0,0,13,10,5,3,0,28,0,0,0
Scott McKenna,SCO,DF,Nott'ham Forest,25,"1,040,000",20,19,"1,571",17.5,0,0,4,0,5,35,0,0,8,4,12,7,0,68,0,0,0
Scott McTominay,SCO,MF,Manchester Utd,25,"3,120,000",24,10,"1,160",12.9,1,0,8,0,20,33,0.08,0,28,16,14,19,0,78,0,0,0
Séamus Coleman,IRL,DF,Everton,33,"2,860,000",23,20,"1,656",18.4,1,0,1,0,13,61,0.05,0,10,21,22,26,0,100,0,0,0
Sean Longstaff,ENG,MF,Newcastle Utd,24,"2,600,000",33,28,"2,518",28,1,4,2,0,21,116,0.04,0.14,29,39,16,21,0,141,0,0,0
Sekou Mara,FRA,FW,Southampton,20,"1,300,000",22,4,555,6.2,1,2,1,0,7,7,0.16,0.32,20,6,1,10,0,25,0,0,0
Serge Aurier,CIV,DF,Nott'ham Forest,29,"1,820,000",24,22,"1,943",21.6,1,0,2,0,37,71,0.05,0,18,19,29,41,0,126,0,0,0
Sergi Canós,ESP,FW,Brentford,25,"1,300,000",5,0,77,0.9,0,0,0,0,4,2,0,0,3,3,0,0,0,6,0,0,0
Sergio Gómez,ESP,DF,Manchester City,21,"2,600,000",12,2,349,3.9,0,1,0,0,10,18,0,0.26,1,2,2,4,0,19,0,0,0
