Player,Nat,Pos,Squad,Age,Wages,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,PrgC,PrgP,Gls,Ast,Fls,Fld,Int,TklW,OG,Recov,GA,Saves,Save%
Jack Harrison,ENG,FW,Leeds United,25,"2,600,000",36,34,"2,708",30.1,5,7,2,0,103,103,0.17,0.23,38,37,22,17,0,174,0,0,0
Jack Stacey,ENG,DF,Bournemouth,26,"1,560,000",10,3,299,3.3,0,0,2,0,9,2,0,0,4,0,5,4,0,15,0,0,0
Jack Stephens,ENG,DF,Bournemouth,28,"2,340,000",2,0,46,0.5,0,0,0,0,3,3,0,0,1,0,1,2,0,0,0,0,0
Jack Stephens,ENG,DF,Bournemouth,28,"2,340,000",2,0,46,0.5,0,0,0,0,3,3,0,0,8,2,16,11,0,66,0,0,0
Jack Stephens,ENG,DF,Bournemouth,28,"2,340,000",15,13,"1,173",13,0,0,3,0,7,34,0,0,1,0,1,2,0,0,0,0,0
Jack Stephens,ENG,DF,Bournemouth,28,"2,340,000",15,13,"1,173",13,0,0,3,0,7,34,0,0,8,2,16,11,0,66,0,0,0
Jacob Murphy,ENG,FW,Newcastle Utd,27,"1,820,000",36,14,"1,251",13.9,4,2,0,0,66,57,0.29,0.14,8,14,7,7,0,69,0,0,0
Jacob Ramsey,ENG,MF,Aston Villa,21,"3,640,000",35,31,"2,636",29.3,6,7,5,0,94,98,0.2,0.24,35,45,23,39,1,141,0,0,0
Jadon Sancho,ENG,FW,Manchester Utd,22,"18,200,000",26,21,"1,686",18.7,6,3,0,0,88,76,0.32,0.16,9,10,7,10,0,109,0,0,0
Jaidon Anthony,ENG,MF,Bournemouth,22,"520,000",30,11,"1,257",14,3,1,2,0,31,49,0.21,0.07,9,12,10,17,0,80,0,0,0
Jaïro Riedewald,NED,DF,Crystal Palace,25,"2,860,000",6,0,64,0.7,0,0,0,0,1,1,0,0,2,1,0,1,0,8,0,0,0
Jakub Kiwior,POL,DF,Arsenal,22,"3,016,000",7,5,427,4.7,1,0,0,0,0,6,0.21,0,1,1,6,5,0,20,0,0,0
Jamaal Lascelles,ENG,DF,Newcastle Utd,28,"2,080,000",7,2,218,2.4,0,0,4,0,0,3,0,0,6,2,0,0,0,5,0,0,0
Jamal Lewis,NIR,DF,Newcastle Utd,24,"1,976,000",2,0,11,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
Jamal Lowe,JAM,MF,Bournemouth,28,"624,000",2,0,12,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
James Bree,ENG,DF,Southampton,24,"520,000",5,4,367,4.1,0,0,1,0,4,5,0,0,1,0,6,3,0,17,0,0,0
